# Temas semanales — potencIA
# Formato: tipo,horario,tema
# tipos: carrusel | cita | tip | caso
# horarios: 9am | 6pm

# [generado 2026-08-03] carrusel,9am,YA LLEGÓ LA HIPER-PERSONALIZACIÓN de ecommerce y webs: ya no hace falta Tienda Nube (son todos iguales y no permiten volcar el diseño de la marca ni funcionalidades extra) — la web tiene que ser el reflejo de la marca con el ecommerce embebido y el carrito/lead directo a WhatsApp; más allá de si se hacen con IA o no se abrió una frontera nueva para que emprendedores y pymes logren sitios con soluciones REALES que antes eran inalcanzables; cierre épico: "bienvenidos a la nueva era del ecommerce". DISEÑO: usar los robotitos pixel y emojis en las slides — darles más vida que de costumbre
# [generado 2026-07-27] carrusel,9am,Cuánto tiempo pierde tu equipo de ventas en tareas que puede hacer una IA
# [generado 2026-07-28] tip,6pm,Cómo armar un agente de WhatsApp que califica leads mientras dormís
# [generado 2026-08-06] carrusel,9am,3 automatizaciones que toda pyme debería tener antes de contratar otra persona
# [generado 2026-08-11] caso,6pm,Cómo una distribuidora redujo 15 horas semanales de administración con IA
# [generado 2026-08-18] caso,6pm,El mejor CRM para la industria de eventos: integrado con un agente que hace las primeras preguntas al lead y hace seguimiento solo de los presupuestos que vos mandás — ideal para salones, catering y barras de tragos
tip,9am,Cómo usar IA para escribir propuestas comerciales en 10 minutos
cita,6pm,La IA no reemplaza a tu equipo de ventas. Hace que cada vendedor rinda como dos.
carrusel,9am,Por qué tu pauta en Meta no convierte y cómo la IA lo resuelve
caso,6pm,Cómo una clínica pasó de perder turnos a tener seguimiento automático de cada paciente
tip,9am,5 prompts que todo equipo de marketing debería tener guardados
cita,6pm,El problema no es la tecnología. Es no saber qué automatizar primero.
carrusel,9am,Qué es un agente de IA y por qué tu pyme ya lo necesita
caso,6pm,Cómo una agencia inmobiliaria duplicó sus respuestas a leads sin sumar personal
tip,9am,Cómo hacer scraping de prospectos y armar una lista calificada con IA en una tarde
cita,6pm,Automatizar no es para empresas grandes. Es para las que quieren crecer sin agrandarse.
